Column1,Column2,Column3
AUkUmpMXWl,คะนิดล่อให้จักรณัถเทพไปพบที่สวนสาธารณะกลางคืน ก่อนจะใช้ปืนยิงใส่เขาหลายนัดจนเสียชีวิต,"[{'จักรณัถเทพ':'[1]'},{'คะนิด':'[5,7]'}]"
1lbP7FUhvf,ฆ้องคมน์ฉ้อโกงเงินลงทุนจากลูกค้าด้วยเอกสารปลอมในโครงการลงทุน,[{'ฆ้องคมน์':'[6]'}]
g8zKS8RyZA,กัลปวรรณ์ขับรถเมาแล้วชนรถโดยสารในย่านเมือง ทำให้มีผู้บาดเจ็บ,[{'กัลปวรรณ์':'[3]'}]
ySEi2vlgtw,กีรพันธุ์เชิญเกี๋ยงแก้วเข้าร่วมกลุ่มอ่านหนังสือที่ห้องสมุดเพื่อแลกเปลี่ยนความคิดเห็นในหัวข้อวรรณกรรมร่วมสมัย,"[{'กีรพันธุ์':'[1]'},{'เกี๋ยงแก้ว':'[1]'}]"
lTB4qFflqz,กัญกนิษฐ์ขโมยกระเป๋าจากรถแท็กซี่ในลานจอด,[{'กัญกนิษฐ์':'[2]'}]
mowPOfvCWg,ไกรยพตฉ้อโกงเงินผ่านเว็บไซต์ปลอมในงานสัมมนา,[{'ไกรยพต':'[6]'}]
Hqb4MdJdRx,ขนิษฐสรณ์ทิ้งของแข็งจากระเบียงชั้น 10 โดยไม่ระวัง ทำให้ตกใส่จิรวัชธ์ที่เดินผ่านจนศีรษะแตก,"[{'ขนิษฐสรณ์':'[3]'},{'จิรวัชธ์':'[1]'}]"
gka9Haauyt,แคทธรียาขโมยของมีค่าจากร้านและยิงฆ่าผู้จัดการขณะตรวจสอบ กิตฏินาทอยู่ห่างจากที่เกิดเหตุเลยปลอดภัยดี,"[{'แคทธรียา':'[2,5,7]'},{'กิตฏินาท':'[1]'}]"
bZ5KKx2e9l,คนธ์นงค์สั่งให้คนงานปีนขึ้นสูงโดยไม่ให้ใส่อุปกรณ์นิรภัย ทำให้ตกลงมาเสียชีวิต,"[{'คนธ์นงค์':'[3,7]'}]"
mONFlInwg3,กุลภากรทิ้งกระบอกแก๊สในแดดจัดจนระเบิด,[{'กุลภากร':'[3]'}]
R6jMxKl5CT,กุลปิยรักษ์ทำเครื่องใช้ไฟฟ้าหล่นใส่พื้นโรงเรียน ทำให้นักเรียนสะดุดล้ม,[{'กุลปิยรักษ์':'[3]'}]
24XlGj00Cb,จักร์ฐิเดชใช้น้ำยาทำความสะอาดผิดประเภทจนเกิดควันพิษ,[{'จักร์ฐิเดช':'[3]'}]
Nc7I49Y8hZ,คีรลอบบุกรุกเข้าคลังสินค้าท้องถิ่นและขโมยของมีค่าออกไปในคืนวันปีใหม่ ขณะที่กี้เพียวใช้มีดข่มขู่และชิงทรัพย์ในงานตลาด,"[{'คีร':'[2,4]'},{'กี้เพียว':'[2,5]'}]"
7t7sgwRlLH,แคมขโมยข้อมูลลูกค้าอีคอมเมิร์ซ ขณะที่จิตต์ธัญชฌาฉ้อโกงเงินคืนโดยใช้บัญชีปลอม,"[{'แคม':'[2]'},{'จิตต์ธัญชฌา':'[6]'}]"
k5gFmMjN6v,จุฑาพิศราดน้ำมันใส่แฟนเก่าและจุดไฟเผาจนเสียชีวิต,"[{'จุฑาพิศรา':'[5,7]'}]"
8D7QJ1yYC8,กิติพรใช้ค้อนทุบกระจกหน้ารถกัญณาขณะเขาอยู่ในรถ,"[{'กิติพร':'[5]'},{'กัญณา':'[1]'}]"
hQJevpxjp9,เง็กหลีผลักขวัญแพตกตึกชั้น 5 ขณะเขายืนอยู่ที่ระเบียงจนเขาเสียชีวิตทันที,"[{'ขวัญแพ':'[1]'},{'เง็กหลี':'[5,7]'}]"
0FmYzcwd66,จัตตุรงค์ใช้ไม้เบสบอลฟาดเจตต์สินที่ศีรษะซ้ำหลายครั้งในห้องเก็บของ จนเธอถึงแก่ความตาย,"[{'จัตตุรงค์':'[5,7]'},{'เจตต์สิน':'[1]'}]"
EZ16QTW1Lg,กฤตญภรบุกรุกเข้าร้านแฟชั่นและขโมยเสื้อผ้าหรูออกไป ขณะที่ขรินทร์ทิพย์ฉ้อโกงเงินผ่านเอกสารปลอมในงานประชุม,"[{'กฤตญภร':'[2,4]'},{'ขรินทร์ทิพย์':'[6]'}]"
2HfQPu6HKK,กองแลงลอบบุกรุกเข้าคลังสินค้าทางด้านหลังโรงงานในคืนมืดและขโมยของมีค่าออกไป ส่งผลให้เจ้าของบริษัทสูญเสียทรัพย์สิน,"[{'กองแลง':'[2,4]'}]"
SIHzWIPmsu,กษิตายิงแฟนเก่าจนเสียชีวิต ขณะที่จังวางขโมยโทรศัพท์มือถือจากจุดเกิดเหตุ,"[{'กษิตา':'[5,7]'},{'จังวาง':'[2]'}]"
iCWms8OBzB,กรีเพ็ชร์ประมาทเปิดเครื่องจักรขณะเพื่อนยังทำงานอยู่ ทำให้บาดเจ็บ,[{'กรีเพ็ชร์':'[3]'}]
yfFbFguJEN,กิ่งผกาญจน์ใช้เชือกรัดคอขัดติยาจากด้านหลังขณะเธอกำลังเปิดประตูห้อง จนเธอถึงแก่ความตาย,"[{'ขัดติยา':'[1]'},{'กิ่งผกาญจน์':'[5,7]'}]"
ytFYXsXRSd,จิริศักดิ์ใช้ปืนยิงฆ่าผู้คนในงานแข่งขันที่จัดขึ้นในสนามกีฬา,"[{'จิริศักดิ์':'[5,7]'}]"
H1cm8ft5LV,เกษณัสฐาพูดโทรศัพท์ขณะเดินข้ามทางม้าลาย ทำให้ถูกรถเฉี่ยวชน,[{'เกษณัสฐา':'[3]'}]
5KIlPuVdIb,เกตุพันธ์ลอบบุกรุกเข้าบ้านพักเพื่อขโมยของมีค่า,"[{'เกตุพันธ์':'[2,4]'}]"
d9tymw9Id0,ง่อกีทำงานเชื่อมโลหะใกล้วัตถุไวไฟโดยไม่ใช้อุปกรณ์ป้องกัน ทำให้เกิดไฟไหม้ในโรงงาน,[{'ง่อกี':'[3]'}]
0R3BVGH2lG,กฤษฏ์นนลอบบุกรุกเข้าห้องประชุมในบริษัทและขโมยแฟ้มลับออกไป ขณะที่จิรุจจ์ฉ้อโกงเงินจากนักลงทุนด้วยเอกสารปลอม,"[{'กฤษฏ์นน':'[2,4]'},{'จิรุจจ์':'[6]'}]"
xRSc6ngD8l,งังส่วนขับรถเมาแล้วชนคนเดินเท้าจนทำให้เกิดบาดเจ็บ,[{'งังส่วน':'[3]'}]
5oTueTnFnK,ไกศลลืมตั้งระบบป้องกันความดันถังแก๊ส ทำให้เกิดระเบิด,[{'ไกศล':'[3]'}]
ONac7yn5Sh,กันตธรณ์ชิงกระเป๋าจากผู้โดยสารในรถไฟฟ้า,[{'กันตธรณ์':'[2]'}]
7sa5pQ061v,แก้วพุทโธเปิดเครื่องแอร์ทิ้งไว้ทั้งวันจนระบบไฟฟ้าไหม้,[{'แก้วพุทโธ':'[3]'}]
ly0ox61zcj,ฆนัทกิตติ์ขโมยเงินสดจำนวนมากจากออฟฟิศในวันที่ไม่มีคนทำงานโดยบุกรุกเข้ามา,"[{'ฆนัทกิตติ์':'[2,4]'}]"
jMpNQq47BR,กิมิทาเป็นพยาบาลในห้องฉุกเฉินที่มีท่าทางใจดี แต่กลับฆ่ากรรฑลียาซึ่งเป็นคนไข้ที่เธอมีความแค้นส่วนตัว โดยแอบฉีดยาเกินขนาดจนเสียชีวิต,"[{'กรรฑลียา':'[1]'},{'กิมิทา':'[5,7]'}]"
KT35Otn84P,กีรินบุกรุกเข้าร้านกาแฟและขโมยเงินทอนจากลิ้นชักโดยแอบเข้ามาทางด้านหลัง,"[{'กีริน':'[2,4]'}]"
V6rASaA0Ay,กุลวรัดดาบุกรุกเข้าห้องประชุมในสำนักงานและขโมยแฟ้มลับออกไป ขณะที่กรกชน์ฉ้อโกงเงินจากนักลงทุนในโครงการปลอม,"[{'กุลวรัดดา':'[2,4]'},{'กรกชน์':'[6]'}]"
r15m0XFqMa,คิมเบอรลีรอจังหวะในลานจอดรถที่เปลี่ยว ก่อนใช้ค้อนตีศีรษะจิรปรางอย่างรุนแรงหลายครั้งจนเขาเสียชีวิต,"[{'จิรปราง':'[1]'},{'คิมเบอรลี':'[5,7]'}]"
OSzcSXCiQS,จิตร์กรลืมปิดวาล์วแก๊สในโรงอาหาร ทำให้เกิดระเบิด คร่าชีวิตพนักงาน 1 คน,"[{'จิตร์กร':'[3,7]'}]"
oeOhhk5YFe,กลุยประมาทปล่อยให้นักเรียนปีนขึ้นชั้นสูงเพื่อแขวนป้าย ทำให้ตกลงมาเสียชีวิต,"[{'กลุย':'[3,7]'}]"
lIuk8Vq9RT,จีระพันลอบบุกรุกเข้าบ้านและขโมยแฟ้มสำคัญ,"[{'จีระพัน':'[2,4]'}]"
7SzsIss2Kq,ในตลาดกลางคืน เจริญวิทย์ขโมยสร้อยคอจากร้านค้าท้องถิ่น ขณะที่เกียงไกรก่อเหตุวางเพลิงเผาตู้ขายของเสียหาย,"[{'เจริญวิทย์':'[2]'},{'เกียงไกร':'[5]'}]"
gWhz044m8f,จรินทรรัตน์ใช้สายไฟรัดคอคอรีดจนเขาหยุดหายใจและเสียชีวิตในห้องเก็บของ,"[{'จรินทรรัตน์':'[5,7]'},{'คอรีด':'[1]'}]"
J2FmiHcEEg,กุลวิชชุ์ขับรถเมาในงานมาสคอตคอสเพลย์ชนรถส่วนตัวของผู้ร่วมงาน ทำให้ผู้บริสุทธิ์เสียชีวิต,"[{'กุลวิชชุ์':'[3,7]'}]"
hoc1ylfWSZ,กัญวิภรฉ้อโกงประชาชนในสัมมนาลงทุน ทำให้กัณฐชาสูญเสียเงิน,"[{'กัญวิภร':'[6]'},{'กัณฐชา':'[1]'}]"
epBNxCVjCM,กุลชุลีตัดต้นไม้โดยไม่ปิดพื้นที่ ทำให้กิ่งไม้ตกใส่ผู้ผ่านทาง,[{'กุลชุลี':'[3]'}]
XcQ7GXmXnU,ไขนภางค์ลักทรัพย์จากร้านทองโดยแกล้งทำเป็นลูกค้า และกฤตย์ดนัยปลอมเอกสารโอนกรรมสิทธิ์ทองคำ,"[{'ไขนภางค์':'[2]'},{'กฤตย์ดนัย':'[6]'}]"
ucKa8jv38q,กฤศวิโรจณ์บุกรุกเข้าร้านกาแฟและขโมยเครื่องดนตรีหายากออกไปในช่วงที่ร้านปิด,"[{'กฤศวิโรจณ์':'[2,4]'}]"
6lwDm5Pdzy,คณาญาบุกขโมยแฟ้มลับจากอาคารรัฐบาลในยามค่ำคืน,"[{'คณาญา':'[2,4]'}]"
j8sGeolOmv,เกียรติบังอรทิ้งสายไฟไว้บนพื้นทางเดินสำนักงานโดยไม่แจ้งเตือน ทำให้คนลื่นล้ม,[{'เกียรติบังอร':'[3]'}]
QUCb3Ce1pM,จักษ์กรีบุกรุกเข้าบ้านเพื่อนและขโมยของมีค่าออกไปในคืนมืด ทำให้เจ้าของบ้านต้องสูญเสียทรัพย์สิน,"[{'จักษ์กรี':'[2,4]'}]"
HsJkjJ9udh,กิตติชัยมงคลฉ้อโกงลูกค้าในงานสัมมนาผ่านเว็บไซต์ปลอม ทำให้เงินลงทุนสูญหาย,[{'กิตติชัยมงคล':'[6]'}]
ReAHIbNUkU,จรันท์ขับรถเมาแล้วชนรถยนต์ ทำให้ทรัพย์สินเสียหาย,[{'จรันท์':'[3]'}]
7uxcj5gRoa,กิ่งปรางค์เปิดเพจปลอมขายเสื้อผ้าแบรนด์เนมแล้วหลอกให้ลูกค้าโอนเงิน,[{'กิ่งปรางค์':'[6]'}]
yaKd0yXKh2,จงสินลอบบุกรุกเข้าห้องเก็บของในบริษัทคู่แข่งแล้วขโมยแฟ้มลับ,"[{'จงสิน':'[2,4]'}]"
oWOcKIebP0,ในงานเลี้ยงบริษัท ณ ศูนย์ประชุม กิจฟ้าลอบบุกรุกเข้าห้องจัดเลี้ยงและชิงทรัพย์จากผู้ร่วมงาน จากนั้นยิงขัดขืนเจ้าหน้าที่เมื่อถูกจับได้,"[{'กิจฟ้า':'[2,4,5]'}]"
6E7KPysRNy,จิ้นสุนลอบบุกรุกเข้าศูนย์การค้าในยามกลางคืนและขโมยแฟ้มข้อมูลลับออกไป,"[{'จิ้นสุน':'[2,4]'}]"
C6VpRFNqwO,กมลโชคใช้ปืนข่มขู่ขณะบุกรุกเข้าร้านค้าและยิงฆ่าผู้ที่ขัดขืน ขณะที่งามพริ้งขโมยกระเป๋าจากรถแท็กซี่,"[{'กมลโชค':'[4,5,7]'},{'งามพริ้ง':'[2]'}]"
DE65jDI4xo,ก่องศิริและกัณธารัตน์เป็นพนักงานบริษัทที่อาสาไปสอนทักษะคอมพิวเตอร์ให้เด็กในบ้านพักเด็กกำพร้า โดยจัดทำแบบฝึกหัดและเตรียมอุปกรณ์ทั้งหมดเอง,"[{'ก่องศิริ':'[1]'},{'กัณธารัตน์':'[1]'}]"
jsOUl99yq4,กุรมิตกอร์หลอกให้สมัครสมาชิกฟิตเนสปลอมแล้วปิดตัวหนีหลังเก็บค่าสมาชิกแล้ว,[{'กุรมิตกอร์':'[6]'}]
kxVbBZtjcD,คณัฐชาฉ้อโกงนักลงทุนในโครงการปลอมด้วยเอกสารบิดเบือน,[{'คณัฐชา':'[6]'}]
AT4I2ozi1O,เกศสวรรค์ลอบบุกรุกอาคารพาณิชย์และขโมยเงินสดจากตู้อัตโนมัติ,"[{'เกศสวรรค์':'[2,4]'}]"
wn8zA4ADUC,กุลรชัยปลอมตัวเป็นเจ้าหน้าที่ธนาคาร ส่วนกุลเกศแอบอ้างเป็นผู้จัดการ เพื่อหลอกเหยื่อให้โอนเงินค่าประกันชีวิต,"[{'กุลรชัย':'[6]'},{'กุลเกศ':'[6]'}]"
C8yDxvuQzi,กานต์วริยาบุกรุกเข้าบ้านพักและขโมยของมีค่ามากมายโดยมีเกริกชาติร่วมมือด้วย ทำให้เจ้าของบ้านซึ่งก็คือกานต์ชนพสูญเสียทรัพย์สิน,"[{'กานต์ชนพ':'[1]'},{'เกริกชาติ':'[2,4]'},{'กานต์วริยา':'[2,4]'}]"
UHnpnTmKm8,ไกรจิตบุกเข้าบ้านของค้ายตอนกลางคืนพร้อมมีด และขู่บังคับให้ค้ายมอบทรัพย์สิน ก่อนจะใช้มีดกรีดแขนของค้ายจนต้องเข้าโรงพยาบาล,"[{'ไกรจิต':'[2,4,5]'},{'ค้าย':'[1]'}]"
3UQYNx5DJ3,กัญยารักษ์กับกาญจน์ฐิมาลอบบุกรุกธนาคารในยามค่ำคืนและขโมยเงินสดจำนวนมากก่อนหนีทันที,"[{'กัญยารักษ์':'[2,4]'},{'กาญจน์ฐิมา':'[2,4]'}]"
WYAxPtnzjE,ไคลขโมยกระเป๋าจากรถยนต์ในลานจอดซึ่งเป็นพื้นที่หวงห้าม,"[{'ไคล':'[2,4]'}]"
gIPCt519X3,กรรภิรมย์ลอบบุกรุกเข้าบ้านเพื่อนและขโมยของมีค่าคืนกลางคืน,"[{'กรรภิรมย์':'[2,4]'}]"
NAdmnvJ4kQ,กฤตยมนเปิดบริษัททัวร์ปลอมหลอกเก็บเงินค่าทริปต่างประเทศแต่ไม่จัดจริง,[{'กฤตยมน':'[6]'}]
y7HBl8CbSn,ขวัญชีวินลืมปิดเตาอบหลังใช้งานจนเกิดควันเต็มห้องครัว,[{'ขวัญชีวิน':'[3]'}]
yKQlrVRKXj,การจนภรณ์ฉ้อโกงเงินช่วยเหลือประชาชนผ่านเอกสารปลอม ขณะที่กุยจั๊วบุกรุกเข้าศูนย์แจกของและขโมยสิ่งของ,"[{'การจนภรณ์':'[6]'},{'กุยจั๊ว':'[2,4]'}]"
PzKYZmjAuD,จิศญาใช้มีดและปืนข่มขู่ผู้คนในงานเลี้ยง ทำให้ฝ่ายตรงข้ามบาดเจ็บ,[{'จิศญา':'[5]'}]
p3ViW7FuN7,เกษากิจชิงทรัพย์กระเป๋าเงินจากคนแก่นอกธนาคาร ขณะที่กานต์สิรินฉ้อโกงเงินบริจาคผ่านบัญชีปลอม,"[{'เกษากิจ':'[2]'},{'กานต์สิริน':'[6]'}]"
WNHVO4cRgY,กฤษณพงค์ซึ่งเป็นแพทย์ประจำหมู่บ้าน ปกติเป็นที่รักของชาวบ้าน แต่มีคนไข้หญิงคนหนึ่งแจ้งว่าโดนลวนลาม เขาจึงฉีดยาเกินขนาดให้เธอเสียชีวิตในห้องตรวจ,"[{'กฤษณพงค์':'[5,7]'}]"
efba633dv2,กันธพรและจีระสุขเข้าร่วมอบรมการปฐมพยาบาลเบื้องต้นที่จัดโดยหน่วยงานสาธารณสุข,"[{'กันธพร':'[1]'},{'จีระสุข':'[1]'}]"
fu75wmVj9n,กฤษติภรณ์ขับรถเร็วเกินกำหนดในเขตชุมชนจนพุ่งชนจักรยานของคหพิโมกข์ทำให้คหพิโมกข์ขาหัก,"[{'กฤษติภรณ์':'[3]'},{'คหพิโมกข์':'[1]'}]"
t1exN6uL51,จตุรณวางกระถางต้นไม้ริมขอบระเบียงโดยไม่มีที่ยึด ทำให้ตกใส่คนด้านล่าง,[{'จตุรณ':'[3]'}]
CEvTlstgZJ,คำกรฉ้อโกงเงินจากระบบออนไลน์โดยปลอมเอกสารในงานสัมมนา ขณะที่กัลย์นภัสขโมยของจากร้านค้าท้องถิ่น,"[{'คำกร':'[6]'},{'กัลย์นภัส':'[2]'}]"
k54jkAhI6N,จันไทยใช้มีดแทงกริชเพชรบริเวณคอขณะมีปากเสียงกันในครัวจนเธอเสียชีวิต,"[{'กริชเพชร':'[1]'},{'จันไทย':'[5,7]'}]"
AkJJOESrS2,กรัณทรัตน์แสร้งทำเป็นตกหลุมรักกิ๋มม้วยและขอแต่งงาน พอถึงวันแต่งเธอก็ล่อเขาไปที่บ้านเก่าของเธอและยิงเขาจนเสียชีวิต,"[{'กรัณทรัตน์':'[5,7]'},{'กิ๋มม้วย':'[1]'}]"
5phQ8j6CgW,คณกิจขับรถเมาและชนรถบัสจนผู้โดยสารเสียชีวิต,"[{'คณกิจ':'[3,7]'}]"
ci4yEyEkXb,จิตหรรษาขโมยโทรศัพท์จากผู้โดยสารในรถไฟฟ้า,[{'จิตหรรษา':'[2]'}]
LS0x7CLKlC,คุลากรลักทรัพย์ของจากร้านขายของในตลาดและพยายามหลบหนี,[{'คุลากร':'[2]'}]
5bF8QKw4vf,ขยับขโมยของจากห้างสรรพสินค้า,[{'ขยับ':'[2]'}]
4xeliNtRz6,กนกกิตยิงปืนข่มขู่ลูกค้าบนตลาดแล้วชิงทรัพย์พวกเขา,"[{'กนกกิต':'[2,5]'}]"
jh7Y9Qm9Ou,กฤษชลาบุกรุกเข้าหอพักและขโมยของมีค่าออกจากตู้อัตโนมัติ,"[{'กฤษชลา':'[2,4]'}]"
sTY8YfwMZF,กัญตะณาใช้ปืนข่มขู่ในงานเลี้ยงจนทำให้ผู้เข้าร่วมงานตกใจและหนีออกไป,[{'กัญตะณา':'[5]'}]
bN5LAkx2qm,จิตรศิริเดินทางกลับบ้านโดยรถไฟฟ้า,[{'จิตรศิริ':'[1]'}]
GrH56bFu5k,คนียาบุกรุกเข้าห้องเก็บข้อมูลในบริษัทคู่แข่งและขโมยแฟ้มลับออกไป,"[{'คนียา':'[2,4]'}]"
dPpStqCBvc,เกริกสินขโมยของจากร้านค้าปลีกในหมู่บ้านโดยแอบบุกรุกเข้ามาทางด้านหลังและวิ่งหนีไปในความมืด,"[{'เกริกสิน':'[2,4]'}]"
rVWQDQfvJc,เงินพสิทธิ์ขับรถประมาทชนคนเดินกลางถนนในคืนเมาทำให้มีผู้บาดเจ็บและข้าวของเสียหายมากมาย,[{'เงินพสิทธิ์':'[3]'}]
i37NaVKbty,กัลญานิษฐ์วางแผนหลายวันก่อนลงมือฆ่า โดยนำขวานซ่อนไว้ใต้เตียง และคืนหนึ่งเธอใช้มันฟันจี่เอ็งจนเสียชีวิตในขณะนอนหลับ,"[{'กัลญานิษฐ์':'[5,7]'},{'จี่เอ็ง':'[1]'}]"
m5EyycSRrS,กาตาร์ขโมยของจากร้านค้าท้องถิ่นด้วยการบุกรุกเข้ามาทางด้านหลัง ขณะที่จิรัญชยาฉ้อโกงผู้ซื้อสินค้าผ่านระบบออนไลน์,"[{'กาตาร์':'[2,4]'},{'จิรัญชยา':'[6]'}]"
yvxZG2YBAT,แก้วกรรยาลอบเข้าไปในห้องนิทรรศการศิลปะในเวลากลางคืนแล้วขโมยรูปปั้นออกไป,"[{'แก้วกรรยา':'[2,4]'}]"
vi8wUqJmFs,ขรรไชยขโมยกระเป๋าจากคนเดินในตลาดกลางคืน ขณะที่กูลสิตาฉ้อโกงเงินจากนักลงทุนด้วยเอกสารผิดกฎหมาย,"[{'ขรรไชย':'[2]'},{'กูลสิตา':'[6]'}]"
rf6C6QfZQ6,เครือแก้วขับรถฝ่าไฟแดงชนคนเดินเท้าจนบาดเจ็บ แล้วหลบหนีจากที่เกิดเหตุ ส่วนเจนวิจิตร์ขโมยกระเป๋าของผู้บาดเจ็บ,"[{'เครือแก้ว':'[3]'},{'เจนวิจิตร์':'[2]'}]"
u3G5hbZiZW,จุฬาลักษ์หลอกให้กลุ่มนักเรียนโอนเงินซื้อของปลอมทางออนไลน์ และขโมยบัญชีอีเมล,"[{'จุฬาลักษ์':'[2,6]'}]"
gpelxejKZp,คณาธิปปลอมเว็บไซต์ธนาคารเพื่อหลอกเอาข้อมูลบัญชีและเงินของผู้ใช้งาน,[{'คณาธิป':'[6]'}]
Xf3eaUaVZv,ก๋องคิ้มใช้มีดทำครัวแทงคณิฎฐาจนเสียชีวิต ขณะที่เธอกำลังเตรียมอาหารในห้องครัว,"[{'ก๋องคิ้ม':'[5,7]'},{'คณิฎฐา':'[1]'}]"
36NejLO93D,กัญจณาบุกรุกเข้าร้านค้าและขโมยของมีค่าจากตู้อัตโนมัติ ณ ห้างสรรพสินค้า,"[{'กัญจณา':'[2,4]'}]"
O3vYQgNhdT,กฤษธนาพัฒน์เดินถือของร้อนในโรงอาหารโดยไม่ระวัง ทำให้น้ำเดือดหกใส่เพื่อนพนักงาน,[{'กฤษธนาพัฒน์':'[3]'}]
im6V7flfT8,กำพนธ์และกนกกรรณร่วมงานเลี้ยงเฉยๆ,"[{'กำพนธ์':'[1]'},{'กนกกรรณ':'[1]'}]"
faBYRondTf,เจตสิตเมาแล้วขับรถพุ่งชนร้านสะดวกซื้อที่กฤษภณกำลังซื้อของอยู่ ทำให้กฤษภณขาหัก,"[{'เจตสิต':'[3]'},{'กฤษภณ':'[1]'}]"
yuOHmE0mTF,ข่ายรัตน์ลอบบุกรุกเข้าคลังสินค้าและขโมยสินค้าออกไปในคืนวันใหม่ ขณะที่จีระจิตรใช้มีดข่มขู่เพื่อชิงทรัพย์ในงานตลาด,"[{'ข่ายรัตน์':'[2,4]'},{'จีระจิตร':'[2,5]'}]"
MTlEsURL33,จันประภานั่งเล่นโดต้าทูและเข้าไปโจมตีผู้เล่นฝั่งตรงข้ามในเกมจนเสียชีวิต,[{'จันประภา':'[1]'}]
dClGaflmqj,กุสญาใช้ปืนข่มขู่และยิงฆ่าผู้เข้าร่วมงานประชุมที่โรงแรมหรู ขณะที่กัญญุมนต์บุกรุกเข้าร้านและชิงทรัพย์จากพนักงาน,"[{'กุสญา':'[5,7]'},{'กัญญุมนต์':'[2,4]'}]"
4IKmShSWem,คารุมใช้มีดข่มขู่และยิงฆ่าผู้คนในงานเลี้ยงที่ร้านอาหาร,"[{'คารุม':'[5,7]'}]"
l2uWokzO1L,จันทรประภาใช้มีดโจมตีคู่แข่งในงานเลี้ยง ทำให้ผู้ร่วมงานบาดเจ็บ,[{'จันทรประภา':'[5]'}]
sMAGOsnBq0,คชาสิณฐ์ขโมยโทรศัพท์จากผู้โดยสารในรถไฟฟ้า,[{'คชาสิณฐ์':'[2]'}]
wVpHaP49Rq,จั่งเฮียงใช้ปืนข่มขู่คู่แข่งในงานเลี้ยงโรงแรมและชิงทรัพย์จากแขกงาน ขณะที่กิ่งษรขโมยเงินสดจากตู้อัตโนมัติ,"[{'จั่งเฮียง':'[2,5]'},{'กิ่งษร':'[2]'}]"
sWkedeFw5U,คำนูนพจน์ขับรถเมาแล้วชนและยิงฆ่าผู้เข้าร่วมงานคอนเสิร์ตบริสุทธิ์ จันทร์ลองเป็นผู้ชมบริสุทธิ์,"[{'คำนูนพจน์':'[3,5,7]'},{'จันทร์ลอง':'[1]'}]"
dNW0BfRW5T,กรสุกาญจน์ลอบบุกรุกเข้าศูนย์วิจัยและขโมยต้นแบบผลิตภัณฑ์ ขณะที่จริตฉ้อโกงสหกรณ์ด้วยเอกสารปลอม,"[{'กรสุกาญจน์':'[2,4]'},{'จริต':'[6]'}]"
CaVRfuLX66,จักรพงษใช้ปืนข่มขู่ในงานเลี้ยงโรงแรมและยิงฆ่าผู้เข้าร่วม ขณะที่คัชระภูมิขโมยกระเป๋าจากผู้โดยสาร,"[{'จักรพงษ':'[5,7]'},{'คัชระภูมิ':'[2]'}]"
xSRMR9eKqU,จิราพงษ์ใช้มีดโจมตีคู่แข่งในร้านอาหาร ทำให้ฝ่ายตรงข้ามบาดเจ็บ,[{'จิราพงษ์':'[5]'}]
1uCwVZExFt,คงณากรบุกรุกเข้าคอมเพล็กซ์สำนักงานกลางคืนและขโมยเอกสารลับ โดยมีการใช้ปืนขุ่มขู่ผู้ที่มาเห็นเหตุการณ์,"[{'คงณากร':'[2,4,5]'}]"
WFuIVmoLkc,เกล้ามงคลใช้มีดไล่กฤษณันต์กลางถนนเพราะหึงหวง,"[{'กฤษณันต์':'[1]'},{'เกล้ามงคล':'[5]'}]"
SwAD4Du7Y2,ง่วนล้งบุกรุกเข้าหลังร้านกาแฟและขโมยเงินจากลิ้นชักอย่างรวดเร็ว,"[{'ง่วนล้ง':'[2,4]'}]"
8zD35DCjjV,คำต้อยปลอมข้อมูลรับเงินบริจาคและขโมยเงินจากบัญชีองค์กรการกุศล ขณะกษมยนปลอมใบเสร็จเพื่อปกปิด,"[{'คำต้อย':'[2,6]'},{'กษมยน':'[6]'}]"
WyA8b3iYuy,กมลรัชยิงปืนนัดเดียวเข้าศีรษะจำรูญลักษณ์ที่หน้าร้านสะดวกซื้อจนเธอเสียชีวิตทันที,"[{'กมลรัช':'[5,7]'},{'จำรูญลักษณ์':'[1]'}]"
3OjzxaBY0Q,เจนระวีขับรถเมาแล้วชนคนเดินบนถนน ทำให้ผู้เดินทางบาดเจ็บ,[{'เจนระวี':'[3]'}]
5ljL8lngbz,กนธ์ธีย์ฉ้อโกงเงินจากบริษัทด้วยเอกสารปลอมและบุกรุกเข้าห้องเก็บข้อมูลเพื่อขโมยแฟ้มลับ ขณะที่ขวัญรักขโมยของจากห้างสรรพสินค้า,"[{'กนธ์ธีย์':'[2,4,6]'},{'ขวัญรัก':'[2]'}]"
EjrvmbFzkt,งวงจึงขโมยของจากห้างโดยบุกรุกเข้ามาทางด้านหลัง,"[{'งวงจึง':'[2,4]'}]"
192JromFMU,กิตติวันต์เป็นนักดนตรีชื่อดังที่มีแฟนคลับมากมาย แต่ฆ่ากมลรัฐซึ่งเป็นโปรดิวเซอร์ของเขาหลังเธอประกาศยุติสัญญา ด้วยการผลักเธอลงจากบันไดจนเสียชีวิต,"[{'กิตติวันต์':'[5,7]'},{'กมลรัฐ':'[1]'}]"
FBB82kFQdw,กิตติรงค์หลอกให้ลงทุนเหมืองทองคำในต่างประเทศ ส่วนเจรัฐิติภาสแกล้งเป็นผู้ร่วมลงทุนที่ร่ำรวย,"[{'กิตติรงค์':'[6]'},{'เจรัฐิติภาส':'[6]'}]"
